iter	Passed	Remaining
0	1	120
1	2	101
2	2	95
3	3	84
4	4	83
5	5	81
6	5	79
7	6	77
8	7	74
9	8	74
10	8	72
11	9	71
12	11	73
13	13	82
14	14	80
15	15	79
16	16	78
17	16	76
18	17	76
19	18	75
20	19	73
21	20	72
22	21	70
23	21	69
24	22	67
25	23	66
26	24	65
27	25	64
28	27	68
29	28	67
30	29	66
31	30	65
32	31	63
33	32	62
34	32	61
35	33	59
36	34	58
37	35	57
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	38	49
44	39	48
45	41	48
46	42	48
47	43	47
48	44	45
49	44	44
50	45	43
51	46	42
52	47	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	57	30
65	57	29
66	58	28
67	59	27
68	60	27
69	60	26
70	61	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	69	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	83	0
99	84	0
