iter	Passed	Remaining
0	154	154389
1	158	78901
2	160	53277
3	162	40380
4	163	32608
5	165	27420
6	167	23704
7	168	20903
8	170	18818
9	172	17061
10	173	15611
11	174	14395
12	176	13364
13	177	12470
14	177	11684
15	178	10993
16	179	10386
17	180	9832
18	180	9335
19	181	8889
20	182	8486
21	182	8134
22	183	7815
23	185	7539
24	186	7258
25	186	6995
26	187	6751
27	188	6528
28	188	6318
29	189	6120
30	189	5935
31	190	5761
32	191	5598
33	191	5444
34	192	5299
35	192	5163
36	193	5033
37	193	4911
38	194	4795
39	195	4684
40	195	4578
41	196	4479
42	197	4387
43	198	4306
44	199	4236
45	200	4153
46	200	4072
47	201	3996
48	202	3922
49	202	3851
50	203	3783
51	203	3716
52	204	3653
53	205	3592
54	205	3533
55	206	3476
56	206	3421
57	207	3368
58	208	3317
59	208	3268
60	209	3219
61	209	3173
62	210	3128
63	210	3084
64	211	3043
65	212	3014
66	214	2989
67	215	2952
68	216	2916
69	216	2880
70	217	2845
71	218	2812
72	218	2779
73	219	2746
74	220	2714
75	220	2682
76	221	2652
77	221	2622
78	222	2592
79	222	2564
80	223	2536
81	224	2509
82	224	2480
83	225	2454
84	225	2429
85	226	2405
86	227	2385
87	228	2373
88	229	2350
89	230	2328
90	230	2307
91	231	2286
92	232	2266
93	233	2246
94	233	2225
95	234	2205
96	234	2185
97	235	2165
98	235	2146
99	236	2128
100	237	2110
101	237	2092
102	238	2074
103	238	2057
104	239	2041
105	240	2024
106	240	2009
107	241	1994
108	242	1981
109	243	1973
110	244	1958
111	245	1944
112	245	1929
113	246	1915
114	247	1901
115	247	1887
116	248	1873
117	248	1859
118	249	1846
119	249	1833
120	250	1820
121	251	1806
122	251	1794
123	252	1782
124	252	1769
125	253	1757
126	253	1745
127	254	1733
128	255	1722
129	255	1710
130	256	1700
131	257	1694
132	258	1686
133	259	1676
134	260	1666
135	260	1656
136	261	1646
137	262	1636
138	262	1626
139	263	1616
140	263	1606
141	264	1596
142	264	1586
143	265	1577
144	265	1567
145	266	1558
146	267	1549
147	267	1540
148	268	1532
149	268	1523
150	269	1515
151	270	1506
152	270	1498
153	271	1493
154	273	1489
155	274	1482
156	274	1475
157	275	1467
158	276	1460
159	276	1452
160	277	1444
161	277	1436
162	278	1428
163	278	1421
164	279	1414
165	280	1406
166	280	1399
167	281	1392
168	281	1385
169	282	1378
170	283	1372
171	283	1365
172	284	1358
173	284	1352
174	285	1347
175	287	1344
176	288	1341
177	289	1335
178	289	1329
179	290	1323
180	291	1318
181	291	1312
182	292	1305
183	293	1299
184	293	1293
185	294	1287
186	294	1281
187	295	1276
188	296	1270
189	296	1264
190	297	1258
191	297	1253
192	298	1247
193	298	1242
194	299	1236
195	300	1231
196	301	1226
197	302	1226
198	303	1222
199	304	1216
200	304	1211
201	305	1206
202	306	1202
203	306	1197
204	307	1193
205	308	1188
206	308	1183
207	309	1179
208	310	1174
209	310	1169
210	311	1165
211	312	1160
212	312	1156
213	313	1151
214	314	1147
215	314	1142
216	316	1140
217	317	1139
218	318	1136
219	319	1132
220	320	1129
221	321	1125
222	321	1121
223	322	1117
224	323	1112
225	323	1108
226	324	1104
227	324	1099
228	325	1095
229	325	1091
230	326	1087
231	327	1083
232	327	1078
233	328	1074
234	328	1070
235	329	1067
236	330	1065
237	332	1063
238	332	1059
239	333	1056
240	334	1052
241	334	1048
242	335	1044
243	336	1041
244	336	1037
245	337	1035
246	338	1032
247	339	1028
248	339	1024
249	340	1021
250	340	1017
251	341	1013
252	342	1010
253	342	1006
254	343	1002
255	343	999
256	344	995
257	345	992
258	346	991
259	347	989
260	348	986
261	348	982
262	349	979
263	350	976
264	350	972
265	351	969
266	351	966
267	352	962
268	353	959
269	353	956
270	354	953
271	354	949
272	355	946
273	356	943
274	356	940
275	357	937
276	357	934
277	358	931
278	359	928
279	360	925
280	361	924
281	362	922
282	362	919
283	363	916
284	364	913
285	364	910
286	365	907
287	366	904
288	366	901
289	367	899
290	367	896
291	368	893
292	368	890
293	369	887
294	370	884
295	370	881
296	371	878
297	371	876
298	372	873
299	373	870
300	373	867
301	374	866
302	376	865
303	377	863
304	377	860
305	378	858
306	378	855
307	379	853
308	380	851
309	381	849
310	382	846
311	382	844
312	383	841
313	384	839
314	385	837
315	385	834
316	386	832
317	387	830
318	387	828
319	388	826
320	390	825
321	392	825
322	392	823
323	393	820
324	394	818
325	394	816
326	395	814
327	396	811
328	396	809
329	397	806
330	398	804
331	398	802
332	399	799
333	399	797
334	400	795
335	401	793
336	402	791
337	402	789
338	403	786
339	405	787
340	406	785
341	407	783
342	407	781
343	408	779
344	409	777
345	410	774
346	410	772
347	411	770
348	411	768
349	412	766
350	413	763
351	413	761
352	414	759
353	414	757
354	415	755
355	416	753
356	416	750
357	417	748
358	419	749
359	421	749
360	422	748
361	423	746
362	424	744
363	425	742
364	425	740
365	426	738
366	427	736
367	427	734
368	428	732
369	429	730
370	429	728
371	430	726
372	431	724
373	431	722
374	432	720
375	432	718
376	434	717
377	435	717
378	436	715
379	437	713
380	437	711
381	438	709
382	439	707
383	440	705
384	440	704
385	441	702
386	442	700
387	442	698
388	443	696
389	444	694
390	444	692
391	445	690
392	446	689
393	446	687
394	447	685
395	448	683
396	449	682
397	450	681
398	451	679
399	451	677
400	452	676
401	453	674
402	454	673
403	455	671
404	455	669
405	456	668
406	457	666
407	458	664
408	458	662
409	459	661
410	460	659
411	460	657
412	461	656
413	462	654
414	463	653
415	464	652
416	465	651
417	466	649
418	467	647
419	467	645
420	468	644
421	469	642
422	469	640
423	470	639
424	471	637
425	471	635
426	472	634
427	473	632
428	473	630
429	474	628
430	475	627
431	475	625
432	476	623
433	476	621
434	489	635
435	490	633
436	490	632
437	491	630
438	491	628
439	492	626
440	493	625
441	494	623
442	495	622
443	496	621
444	497	620
445	498	618
446	498	616
447	499	615
448	499	613
449	500	611
450	501	610
451	502	608
452	502	607
453	503	605
454	504	604
455	505	602
456	505	601
457	506	599
458	507	598
459	508	596
460	509	595
461	510	594
462	512	594
463	512	592
464	513	590
465	514	589
466	514	587
467	515	586
468	516	584
469	517	583
470	517	581
471	518	579
472	518	578
473	519	576
474	520	574
475	520	573
476	521	571
477	522	570
478	523	568
479	524	567
480	525	566
481	526	565
482	526	563
483	527	562
484	528	560
485	528	559
486	529	557
487	530	556
488	530	554
489	531	553
490	532	551
491	533	550
492	533	548
493	534	547
494	535	545
495	535	544
496	536	542
497	536	541
498	537	540
499	539	539
500	540	538
501	541	537
502	542	535
503	542	534
504	543	532
505	544	531
506	544	529
507	545	528
508	546	526
509	546	525
510	547	523
511	547	522
512	548	520
513	549	519
514	549	517
515	550	516
516	550	514
517	551	513
518	552	511
519	552	510
520	554	509
521	555	508
522	556	507
523	556	505
524	557	504
525	558	502
526	558	501
527	559	500
528	560	498
529	560	497
530	561	495
531	561	494
532	562	492
533	563	491
534	563	489
535	564	488
536	564	487
537	565	485
538	566	484
539	566	482
540	567	481
541	568	480
542	570	480
543	571	478
544	571	477
545	572	476
546	573	474
547	573	473
548	574	471
549	575	470
550	575	469
551	576	467
552	576	466
553	577	464
554	577	463
555	578	462
556	579	460
557	579	459
558	580	457
559	580	456
560	581	454
561	582	453
562	584	453
563	585	452
564	585	451
565	586	449
566	587	448
567	588	447
568	588	445
569	589	444
570	589	443
571	590	441
572	591	440
573	591	439
574	592	437
575	592	436
576	593	435
577	594	433
578	594	432
579	595	431
580	595	429
581	596	428
582	598	428
583	599	427
584	600	425
585	601	424
586	601	423
587	602	422
588	603	420
589	603	419
590	604	418
591	605	417
592	605	415
593	606	414
594	606	413
595	607	411
596	607	410
597	608	409
598	609	407
599	609	406
600	610	405
601	610	403
602	614	404
603	615	403
604	615	402
605	616	400
606	617	399
607	617	398
608	618	397
609	618	395
610	619	394
611	620	393
612	620	391
613	621	390
614	621	389
615	622	388
616	623	386
617	623	385
618	624	384
619	624	383
620	625	381
621	626	380
622	627	379
623	629	379
624	630	378
625	630	376
626	631	375
627	632	374
628	632	373
629	633	371
630	633	370
631	634	369
632	635	368
633	635	366
634	636	365
635	636	364
636	637	363
637	637	361
638	638	360
639	639	359
640	639	358
641	640	357
642	641	355
643	642	355
644	643	354
645	644	353
646	645	352
647	645	350
648	646	349
649	647	348
650	647	347
651	648	346
652	649	344
653	649	343
654	650	342
655	650	341
656	651	340
657	651	338
658	652	337
659	653	336
660	653	335
661	654	334
662	654	332
663	655	331
664	656	330
665	658	330
666	659	329
667	659	327
668	660	326
669	661	325
670	661	324
671	662	323
672	662	322
673	663	320
674	664	319
675	664	318
676	665	317
677	665	316
678	666	315
679	667	313
680	667	312
681	668	311
682	668	310
683	669	309
684	670	308
685	671	307
686	672	306
687	673	305
688	673	304
689	674	303
690	675	301
691	676	300
692	676	299
693	677	298
694	677	297
695	678	296
696	678	295
697	679	294
698	680	292
699	680	291
700	681	290
701	681	289
702	682	288
703	683	287
704	683	286
705	684	284
706	685	284
707	687	283
708	687	282
709	688	281
710	689	280
711	689	278
712	690	277
713	691	276
714	691	275
715	692	274
716	692	273
717	693	272
718	694	271
719	694	270
720	695	269
721	695	267
722	696	266
723	697	265
724	697	264
725	698	263
726	698	262
727	699	261
728	700	260
729	702	259
730	702	258
731	703	257
732	704	256
733	704	255
734	705	254
735	706	253
736	706	252
737	707	251
738	707	249
739	708	248
740	708	247
741	709	246
742	710	245
743	710	244
744	711	243
745	712	242
746	712	241
747	713	240
748	713	239
749	714	238
750	715	237
751	716	236
752	717	235
753	717	234
754	718	233
755	719	232
756	719	231
757	720	229
758	720	228
759	721	227
760	722	226
761	722	225
762	723	224
763	723	223
764	724	222
765	724	221
766	725	220
767	726	219
768	726	218
769	727	217
770	727	216
771	728	215
772	729	214
773	730	213
774	730	212
775	731	211
776	732	210
777	732	209
778	733	208
779	733	206
780	734	205
781	735	204
782	735	203
783	736	202
784	736	201
785	737	200
786	738	199
787	738	198
788	739	197
789	739	196
790	740	195
791	740	194
792	741	193
793	742	192
794	742	191
795	743	190
796	743	189
797	744	188
798	745	187
799	746	186
800	746	185
801	747	184
802	748	183
803	748	182
804	749	181
805	750	180
806	750	179
807	751	178
808	751	177
809	752	176
810	753	175
811	754	174
812	754	173
813	755	172
814	755	171
815	756	170
816	757	169
817	757	168
818	758	167
819	758	166
820	759	165
821	760	164
822	761	163
823	761	162
824	762	161
825	763	160
826	763	159
827	764	158
828	764	157
829	765	156
830	766	155
831	766	154
832	767	153
833	768	152
834	768	151
835	769	150
836	769	149
837	770	148
838	770	147
839	771	146
840	772	145
841	772	144
842	773	144
843	773	143
844	774	142
845	775	141
846	776	140
847	776	139
848	777	138
849	777	137
850	778	136
851	779	135
852	779	134
853	780	133
854	781	132
855	782	131
856	783	130
857	783	129
858	784	128
859	785	127
860	785	126
861	786	125
862	786	124
863	787	123
864	788	122
865	788	122
866	789	121
867	790	120
868	791	119
869	791	118
870	792	117
871	793	116
872	793	115
873	794	114
874	795	113
875	795	112
876	796	111
877	796	110
878	797	109
879	798	108
880	798	107
881	799	106
882	799	105
883	800	105
884	801	104
885	801	103
886	802	102
887	802	101
888	803	100
889	804	99
890	805	98
891	805	97
892	806	96
893	807	95
894	807	94
895	808	93
896	809	92
897	809	91
898	810	91
899	810	90
900	811	89
901	812	88
902	812	87
903	813	86
904	814	85
905	814	84
906	815	83
907	815	82
908	816	81
909	817	80
910	817	79
911	818	78
912	819	78
913	820	77
914	820	76
915	821	75
916	821	74
917	822	73
918	822	72
919	823	71
920	824	70
921	824	69
922	825	68
923	825	67
924	826	67
925	827	66
926	827	65
927	828	64
928	828	63
929	829	62
930	830	61
931	830	60
932	831	59
933	831	58
934	832	57
935	833	56
936	833	56
937	834	55
938	835	54
939	835	53
940	836	52
941	837	51
942	837	50
943	838	49
944	839	48
945	839	47
946	840	47
947	841	46
948	841	45
949	842	44
950	842	43
951	843	42
952	844	41
953	844	40
954	845	39
955	845	38
956	846	38
957	847	37
958	847	36
959	848	35
960	849	34
961	849	33
962	850	32
963	851	31
964	851	30
965	852	29
966	852	29
967	853	28
968	854	27
969	854	26
970	855	25
971	855	24
972	856	23
973	857	22
974	857	21
975	858	21
976	859	20
977	859	19
978	860	18
979	860	17
980	861	16
981	862	15
982	862	14
983	863	14
984	864	13
985	864	12
986	865	11
987	866	10
988	866	9
989	867	8
990	868	7
991	868	7
992	869	6
993	870	5
994	871	4
995	871	3
996	872	2
997	872	1
998	873	0
999	874	0
